id;body_part;name;series;weight;modified
1;CHEST;ivory solutions Cross-platform;91208;26722;2020-05-05
2;ABS;payment engineer;12250;7172;2020-05-05
3;BICEPS;e-commerce B2C West Virginia;4948;37855;2020-05-05
4;LEGS;interface;43435;62108;2020-05-04
5;CHEST;teal transition;6292;61743;2020-05-05
6;ABS;channels Keys bleeding-edge;16559;94205;2020-05-04
7;BICEPS;indexing Supervisor;51721;88599;2020-05-04
8;ABS;definition;85943;18615;2020-05-04
9;LEGS;world-class;18184;51535;2020-05-05
10;TRICEPS;open-source communities AGP;1135;66183;2020-05-05
