id;name;day_of_week;created;modified;archival
1;secured line pink;54366;2020-05-04;2020-05-05;false
2;portals Streamlined algorithm;66454;2020-05-04;2020-05-04;false
3;deposit Buckinghamshire Belize Dollar;12260;2020-05-04;2020-05-05;true
4;Outdoors back-end;14704;2020-05-05;2020-05-04;false
5;pixel;55500;2020-05-05;2020-05-05;false
6;Liaison Savings Account;75533;2020-05-05;2020-05-04;true
7;Wooden;78070;2020-05-05;2020-05-04;false
8;Benin;81553;2020-05-05;2020-05-04;false
9;Investment Account Open-architected Auto Loan Acco;2003;2020-05-05;2020-05-04;true
10;superstructure ADP;14183;2020-05-05;2020-05-05;false
